label,run_dir,optimizer,activation,seed,hidden,configured_steps,final_step,complete,final_val_loss,final_val_ppl,delta_loss_vs_jacobian_h3072_seed1337,matrix_strength,matrix_time_gain,coeff_update_gain,final_coeff_update_gain,selector,coeff_decay,category,notes
Low gain after switch,rational_transport_layerlowgain_full_20260527,rational_transport_onpolicy,rlb_fused_fixed_strong_ffn,1337,3072,3051,3051,True,3.6207828521728516,37.36680906244303,0.005920886993408203,,,,,,,switching,Post-switch low coefficient gain.
Reset on switch,rational_transport_layerstagger_reset_full_20260527,rational_transport_onpolicy,rlb_fused_fixed_strong_ffn,1337,3072,3051,3051,True,3.6213018894195557,37.38620886231075,0.006439924240112305,,,,,,,switching,Optimizer state reset when coefficient phase changes.
Freeze after switch,rational_transport_layerfreeze_full_20260527,rational_transport_onpolicy,rlb_fused_fixed_strong_ffn,1337,3072,3051,3051,True,3.6213910579681396,37.389542684925914,0.006529092788696289,,,,,,,switching,Post-switch coefficient update freeze.
Transport scheduled,rational_transport_scheduled_full_probe_20260527,rational_transport_onpolicy,rlb_fused_fixed_strong_ffn,1337,3072,3051,3051,True,3.62139892578125,37.3898368600173,0.006536960601806641,,,,,,,scheduled coeff,Scheduled coefficient split and late switch.
Layer switch wide,rational_transport_true_switch_wide_full_20260527,rational_transport_onpolicy,rlb_fused_fixed_strong_ffn,1337,3072,3051,3051,True,3.621417760848999,37.390541106759926,0.006555795669555664,0.5,0.0,6.0,,,,layer schedule,Depth-corrected wide layer-specific phase switch.
Selector floor,rational_transport_selector_floor_full_20260527,rational_transport_onpolicy,rlb_fused_fixed_strong_ffn,1337,3072,3051,3051,True,3.621448278427124,37.391682192930794,0.006586313247680664,0.5,0.0,6.0,,,,selector,On-policy selector with a coefficient floor.
Early shutdown,rational_transport_earlyshutdown_full_20260527,rational_transport_onpolicy,rlb_fused_fixed_strong_ffn,1337,3072,3051,3051,True,3.621488094329834,37.393171006150176,0.006626129150390625,0.65,0.25,6.0,,,,switching,Coefficient pressure shut down early.
Dynamic selector,rational_transport_selector_dynamic_full_20260527,rational_transport_onpolicy,rlb_fused_fixed_strong_ffn,1337,3072,3051,3051,True,3.621674060821533,37.40012552960982,0.006812095642089844,,,,,,,selector,Live selector chooses coefficient phase from gradient activity.
Layer stagger moderate pre-fix,rational_transport_layerstagger_full_20260527,rational_transport_onpolicy,rlb_fused_fixed_strong_ffn,1337,3072,3051,3051,True,3.6218090057373047,37.405172826945154,0.006947040557861328,,,,,,,layer schedule,Layer-specific switch timing before depth-index fix.
AdamW SiLU,rlb_optimizer_empirical_ngram_full,adamw,silu,1337,2048,3051,3051,True,3.621981620788574,37.41163008006393,0.007119655609130859,,,,,,,baseline,AdamW baseline from the historical full sweep.
Transport fast,rational_transport_fast_full_probe_20260527,rational_transport_onpolicy,rlb_fused_fixed_strong_ffn,1337,3072,3051,3051,True,3.622317314147949,37.424191024039985,0.007455348968505859,,,,,,,aggressive coeff,"Fast coefficient transport, less extreme than xfast."
Transport xfast,rational_transport_xfast_full_probe_20260527,rational_transport_onpolicy,rlb_fused_fixed_strong_ffn,1337,3072,3051,3051,True,3.6254191398620605,37.54045456348889,0.010557174682617188,,,,,,,aggressive coeff,Very aggressive coefficient transport schedule.
Moderate pullback,rational_transport_pullback_moderate_full_20260527,rational_transport_onpolicy,rlb_fused_fixed_strong_ffn,1337,3072,3051,1500,False,3.9213037490844727,50.46619716479529,0.3064417839050293,0.5,0.0,6.0,,,,pullback,Late coefficient pullback toward the stable phase.
